Date,Cumulative Deaths
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,1
3/1/20,1
3/2/20,6
3/3/20,7
3/4/20,11
3/5/20,12
3/6/20,14
3/7/20,17
3/8/20,21
3/9/20,22
3/10/20,28
3/11/20,33
3/12/20,43
3/13/20,52
3/14/20,58
3/15/20,70
3/16/20,97
3/17/20,131
3/18/20,188
3/19/20,264
3/20/20,361
3/21/20,455
3/22/20,600
3/23/20,783
3/24/20,1020
3/25/20,1332
3/26/20,1745
3/27/20,2297
3/28/20,2931
3/29/20,3558
3/30/20,4378
3/31/20,5602
4/1/20,6843
4/2/20,8429
4/3/20,9744
4/4/20,11028
4/5/20,12467
4/6/20,14135
4/7/20,16444
4/8/20,18560
4/9/20,20635
4/10/20,22728
4/11/20,24774
4/12/20,26548
4/13/20,28376
4/14/20,30780
4/15/20,33329
4/16/20,35442
4/17/20,38056
4/18/20,40442
4/19/20,41671
4/20/20,43466
4/21/20,45923
4/22/20,48312
4/23/20,50746
4/24/20,52864
4/25/20,54514
4/26/20,55807
4/27/20,57232
4/28/20,59451
4/29/20,61957
4/30/20,64253
5/1/20,66122
5/2/20,67678
5/3/20,68774
5/4/20,70083
5/5/20,72390
5/6/20,74848
5/7/20,76767
5/8/20,78494
5/9/20,79973
5/10/20,80852
5/11/20,81865
5/12/20,83480
5/13/20,85231
5/14/20,87005
5/15/20,88666
5/16/20,89889
5/17/20,90641
5/18/20,91411
5/19/20,92962
5/20/20,94530
5/21/20,95753
5/22/20,97022
5/23/20,98143
5/24/20,98751
5/25/20,99264
5/26/20,99949
5/27/20,101458
5/28/20,102640
5/29/20,103806
5/30/20,104775
5/31/20,105361
6/1/20,106133
6/2/20,107166
6/3/20,108156
6/4/20,109165
6/5/20,110135
6/6/20,110815
6/7/20,111266
6/8/20,111771
6/9/20,112711
6/10/20,113628
6/11/20,114509
6/12/20,115331
6/13/20,116081
6/14/20,116379
6/15/20,116770
6/16/20,117609
6/17/20,118360
6/18/20,119064
6/19/20,119736
6/20/20,120346
6/21/20,120601
6/22/20,121007
6/23/20,121844
6/24/20,122601
6/25/20,125023
6/26/20,125628
6/27/20,126117
6/28/20,126358
6/29/20,126708
6/30/20,127429
7/1/20,128102
7/2/20,128800
7/3/20,129439
7/4/20,129686
7/5/20,129957
7/6/20,130282
7/7/20,131477
7/8/20,132297
7/9/20,133287
7/10/20,134098
7/11/20,134774
7/12/20,135202
7/13/20,135563
7/14/20,136463
7/15/20,137412
7/16/20,138355
7/17/20,139263
7/18/20,140116
